run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
1,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r1i1p1,,2017-09-01,2018-09-30,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
2,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r2i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
3,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r3i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
4,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r4i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
5,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r5i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
6,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r6i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
7,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r7i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
8,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r8i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
9,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r9i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
10,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r10i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
11,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r11i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
12,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r12i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
13,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r13i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
14,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r14i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
15,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r15i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
16,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r16i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
17,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r17i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
18,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r18i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
19,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r19i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
20,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r20i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
21,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r21i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
22,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r22i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
23,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r23i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
24,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r24i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
25,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r25i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
26,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r26i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
27,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r27i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
28,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r28i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
29,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r29i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
30,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_LDS.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r30i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE406,,,,,
31,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_MOL.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r1i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE409,,,,,
32,True,fixed,auto,WW_sfix_hauto,sim_spreewasser.json,crop_spreewasser_MOL.json,site.json,False,spreewasserN,spreewasserN/hist_with_gcfs2.1_2018,,,,r2i1p1,,2017-09-01,2018-10-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,,historic_runs,DE409,,,,,
